feature,gain_importance,feature_group,abs_pearson
X403,688.0260009765625,anonymous_x,0.015195071742695127
X378,679.0050048828125,anonymous_x,0.03192507907970872
X367,670.989990234375,anonymous_x,0.05804342804730954
X706,669.5659790039062,anonymous_x,0.011059354126580061
X382,669.2589721679688,anonymous_x,0.016905424648854302
X375,667.968994140625,anonymous_x,0.014557472893252882
X548,666.5540161132812,anonymous_x,0.025408966996082187
X624,661.843017578125,anonymous_x,0.023864907818860605
X499,640.3729858398438,anonymous_x,0.011160033919939735
X127,638.3930053710938,anonymous_x,0.039081185336893406
X50,633.9650268554688,anonymous_x,0.0574960964015352
X708,633.60498046875,anonymous_x,0.02970105292622182
X707,625.9439697265625,anonymous_x,0.007445835576307291
X505,625.7059936523438,anonymous_x,0.0148865055873078
X764,624.8930053710938,anonymous_x,0.026970331560513084
X330,623.4719848632812,anonymous_x,0.020823221586468082
X644,619.718017578125,anonymous_x,0.027741225666163542
X506,619.1959838867188,anonymous_x,0.02939089360862046
X277,617.864990234375,anonymous_x,0.029173542678530125
X94,611.7369995117188,anonymous_x,0.05727453005977616
X410,611.072998046875,anonymous_x,0.024587825808543993
X638,611.0419921875,anonymous_x,0.009818770349910482
X651,609.822021484375,anonymous_x,0.019009294871032482
X530,601.4149780273438,anonymous_x,0.010755342114600141
X183,597.8909912109375,anonymous_x,0.02428776172056668
X372,591.93701171875,anonymous_x,0.03094306325100905
X685,539.6649780273438,anonymous_x,0.003087091848155455
X561,510.80499267578125,anonymous_x,0.0017913917199417035
X442,509.83099365234375,anonymous_x,0.00730044356618966
bid_qty,0.0,public_market,0.014004055532025496
X741,0.0,anonymous_x,0.015205690821802563
X742,0.0,anonymous_x,0.005764131702722242
X743,0.0,anonymous_x,0.01841710360580484
X34,0.0,anonymous_x,0.015619548667431501
X5,0.0,anonymous_x,0.003487154809870281
X6,0.0,anonymous_x,0.011285571496126696
X7,0.0,anonymous_x,0.012865470802523173
X8,0.0,anonymous_x,0.013109929029149375
X9,0.0,anonymous_x,0.01403552658958533
X10,0.0,anonymous_x,0.021228435966114553
X11,0.0,anonymous_x,0.01909715344519507
book_total_qty,0.0,derived_market,0.01923994907576261
trade_total_qty,0.0,derived_market,0.028273911683546385
book_imbalance,0.0,derived_market,0.006013088895172824
trade_imbalance,0.0,derived_market,0.006994932699082971
X19,0.0,anonymous_x,0.06925575416614595
X3,0.0,anonymous_x,0.014077190726247782
X2,0.0,anonymous_x,0.015979535288786727
X745,0.0,anonymous_x,0.009813110155469594
X355,0.0,anonymous_x,0.051224029711606923
X324,0.0,anonymous_x,0.02427158628812775
X328,0.0,anonymous_x,0.019173513841502787
X309,0.0,anonymous_x,0.007101045594423124
X310,0.0,anonymous_x,0.020021844073472527
X311,0.0,anonymous_x,0.014872874659323921
X312,0.0,anonymous_x,0.01304076995806909
X313,0.0,anonymous_x,0.017076247903916493
X314,0.0,anonymous_x,0.00027322648978406335
X93,0.0,anonymous_x,0.007503343973255622
X99,0.0,anonymous_x,0.02190100700087496
X68,0.0,anonymous_x,0.0054463856086937636
X308,0.0,anonymous_x,0.0012425507672084346
X365,0.0,anonymous_x,0.01733814891758358
X366,0.0,anonymous_x,0.03208756365937973
X369,0.0,anonymous_x,0.015558214402295092
X370,0.0,anonymous_x,0.005566444752304223
X346,0.0,anonymous_x,0.012334882911960093
X347,0.0,anonymous_x,0.010349194839800362
X73,0.0,anonymous_x,0.023501054441087455
X74,0.0,anonymous_x,0.006274221973860138
X75,0.0,anonymous_x,0.023939392313798314
X316,0.0,anonymous_x,0.021067860731992603
X317,0.0,anonymous_x,0.01803923577923193
X318,0.0,anonymous_x,0.019171401294744213
X319,0.0,anonymous_x,0.016934101094169565
X320,0.0,anonymous_x,0.002516633871812828
X322,0.0,anonymous_x,0.01861627029860088
X323,0.0,anonymous_x,0.018815738200283726
X348,0.0,anonymous_x,0.010250592706534762
X349,0.0,anonymous_x,0.039320661403084795
X350,0.0,anonymous_x,0.029144621073022327
X351,0.0,anonymous_x,0.007101045594423124
X377,0.0,anonymous_x,0.016517580255594952
X381,0.0,anonymous_x,0.014480385246995296
X356,0.0,anonymous_x,0.03474125427776503
X357,0.0,anonymous_x,0.00883240049516293
X358,0.0,anonymous_x,0.009854031762997623
X359,0.0,anonymous_x,0.017737008799211584
X360,0.0,anonymous_x,0.027547934466841072
X361,0.0,anonymous_x,0.055878313908190966
X362,0.0,anonymous_x,0.035946425840207435
X363,0.0,anonymous_x,0.011354748307917757
X364,0.0,anonymous_x,0.004822614699818145
X392,0.0,anonymous_x,0.021590042311134483
X393,0.0,anonymous_x,0.007101045594423124
X394,0.0,anonymous_x,0.015243809956929814
X395,0.0,anonymous_x,0.002626410429021169
X396,0.0,anonymous_x,0.0024921444895423424
X397,0.0,anonymous_x,0.012045617814028109
X398,0.0,anonymous_x,0.02485638614969623
X399,0.0,anonymous_x,0.00883240049516293
X400,0.0,anonymous_x,0.014123986493420622
X401,0.0,anonymous_x,0.0038517089519734334
X402,0.0,anonymous_x,0.0018038691164966774
X274,0.0,anonymous_x,0.03064125944472676
X275,0.0,anonymous_x,0.029158556491391388
X244,0.0,anonymous_x,0.013647339769518664
