feature,gain_importance,feature_group
X302,1128.8599853515625,anonymous_x
X472,1103.2350463867188,anonymous_x
X451,1092.3499755859375,anonymous_x
X600,1049.6600341796875,anonymous_x
X538,999.0040283203125,anonymous_x
X123,988.8330078125,anonymous_x
X171,981.9119873046875,anonymous_x
X575,976.7169799804688,anonymous_x
X43,974.7130126953125,anonymous_x
X411,967.3610229492188,anonymous_x
X29,966.6810302734375,anonymous_x
X49,964.5969848632812,anonymous_x
X459,953.5040283203125,anonymous_x
X677,944.9290161132812,anonymous_x
X315,936.2559814453125,anonymous_x
X197,926.4290161132812,anonymous_x
X170,900.0079956054688,anonymous_x
X376,879.5150146484375,anonymous_x
X140,860.75,anonymous_x
X131,857.4210205078125,anonymous_x
X456,850.4949951171875,anonymous_x
X368,844.2030029296875,anonymous_x
X76,839.3920288085938,anonymous_x
X133,830.4719848632812,anonymous_x
X713,826.64599609375,anonymous_x
X226,792.791015625,anonymous_x
X678,789.489013671875,anonymous_x
X655,782.114990234375,anonymous_x
X462,773.239990234375,anonymous_x
X233,762.989013671875,anonymous_x
X653,747.9600219726562,anonymous_x
X475,747.8759765625,anonymous_x
X565,745.2620239257812,anonymous_x
X623,742.3709716796875,anonymous_x
X479,735.8599853515625,anonymous_x
X46,734.6339721679688,anonymous_x
X128,732.6580200195312,anonymous_x
X567,732.5430297851562,anonymous_x
X471,720.8880004882812,anonymous_x
X84,716.3569946289062,anonymous_x
X627,713.3350219726562,anonymous_x
X321,712.3870239257812,anonymous_x
X557,706.5900268554688,anonymous_x
X625,705.3480224609375,anonymous_x
X766,700.9219970703125,anonymous_x
X121,694.9760131835938,anonymous_x
X403,688.0260009765625,anonymous_x
X378,679.0050048828125,anonymous_x
X367,670.989990234375,anonymous_x
X706,669.5659790039062,anonymous_x
X382,669.2589721679688,anonymous_x
X375,667.968994140625,anonymous_x
X548,666.5540161132812,anonymous_x
X624,661.843017578125,anonymous_x
X499,640.3729858398438,anonymous_x
X127,638.3930053710938,anonymous_x
X50,633.9650268554688,anonymous_x
X708,633.60498046875,anonymous_x
X707,625.9439697265625,anonymous_x
X505,625.7059936523438,anonymous_x
X764,624.8930053710938,anonymous_x
X330,623.4719848632812,anonymous_x
X644,619.718017578125,anonymous_x
X506,619.1959838867188,anonymous_x
X277,617.864990234375,anonymous_x
X94,611.7369995117188,anonymous_x
X410,611.072998046875,anonymous_x
X638,611.0419921875,anonymous_x
X651,609.822021484375,anonymous_x
X530,601.4149780273438,anonymous_x
X183,597.8909912109375,anonymous_x
X372,591.93701171875,anonymous_x
X685,539.6649780273438,anonymous_x
X561,510.80499267578125,anonymous_x
X442,509.83099365234375,anonymous_x
bid_qty,0.0,public_market
X741,0.0,anonymous_x
X742,0.0,anonymous_x
X743,0.0,anonymous_x
X34,0.0,anonymous_x
X5,0.0,anonymous_x
X6,0.0,anonymous_x
X7,0.0,anonymous_x
X8,0.0,anonymous_x
X9,0.0,anonymous_x
X10,0.0,anonymous_x
X11,0.0,anonymous_x
book_total_qty,0.0,derived_market
trade_total_qty,0.0,derived_market
book_imbalance,0.0,derived_market
trade_imbalance,0.0,derived_market
X19,0.0,anonymous_x
X3,0.0,anonymous_x
X2,0.0,anonymous_x
X745,0.0,anonymous_x
X355,0.0,anonymous_x
X324,0.0,anonymous_x
X328,0.0,anonymous_x
X309,0.0,anonymous_x
X310,0.0,anonymous_x
X311,0.0,anonymous_x
X312,0.0,anonymous_x
X313,0.0,anonymous_x
X314,0.0,anonymous_x
X93,0.0,anonymous_x
X99,0.0,anonymous_x
X68,0.0,anonymous_x
X308,0.0,anonymous_x
X365,0.0,anonymous_x
X366,0.0,anonymous_x
X369,0.0,anonymous_x
X370,0.0,anonymous_x
X346,0.0,anonymous_x
X347,0.0,anonymous_x
X73,0.0,anonymous_x
X74,0.0,anonymous_x
X75,0.0,anonymous_x
X316,0.0,anonymous_x
X317,0.0,anonymous_x
X318,0.0,anonymous_x
X319,0.0,anonymous_x
X320,0.0,anonymous_x
X322,0.0,anonymous_x
X323,0.0,anonymous_x
X348,0.0,anonymous_x
X349,0.0,anonymous_x
X350,0.0,anonymous_x
X351,0.0,anonymous_x
X377,0.0,anonymous_x
X381,0.0,anonymous_x
