feature,coefficient,abs_coefficient,is_nonzero
X732,-0.08580563,0.08580563,True
X398,-0.08553497,0.08553497,True
X329,0.084846765,0.084846765,True
X27,0.08476921,0.08476921,True
X6,-0.08475928,0.08475928,True
X479,-0.08441146,0.08441146,True
X361,-0.08393161,0.08393161,True
X115,-0.08252973,0.08252973,True
X83,0.08220693,0.08220693,True
X159,0.08162655,0.08162655,True
X766,0.08086222,0.08086222,True
X12,0.08086197,0.08086197,True
X67,0.080503926,0.080503926,True
X416,0.080367565,0.080367565,True
X724,0.08012067,0.08012067,True
X258,-0.08001819,0.08001819,True
X381,0.079853065,0.079853065,True
X502,-0.07936352,0.07936352,True
X270,0.07854003,0.07854003,True
X163,0.07847162,0.07847162,True
X494,0.07845656,0.07845656,True
X563,-0.078027226,0.078027226,True
X552,-0.07794522,0.07794522,True
X640,-0.07779723,0.07779723,True
X457,-0.077760465,0.077760465,True
X2,0.07762138,0.07762138,True
X777,-0.07732832,0.07732832,True
X544,-0.077291064,0.077291064,True
X347,0.07665661,0.07665661,True
X368,0.07620931,0.07620931,True
X691,-0.07589626,0.07589626,True
X674,-0.07555348,0.07555348,True
X105,-0.07541478,0.07541478,True
X75,-0.07515501,0.07515501,True
X182,0.075020194,0.075020194,True
X687,-0.0749368,0.0749368,True
X376,-0.07490052,0.07490052,True
X734,0.074562445,0.074562445,True
X615,0.07255652,0.07255652,True
X243,0.07245224,0.07245224,True
X5,0.072252534,0.072252534,True
X619,0.07211067,0.07211067,True
X352,-0.07180867,0.07180867,True
X109,0.07162852,0.07162852,True
X740,0.071146965,0.071146965,True
X18,0.07110426,0.07110426,True
X580,0.070829764,0.070829764,True
X89,0.07077719,0.07077719,True
X117,-0.06939269,0.06939269,True
X384,0.069210544,0.069210544,True
X59,0.06910206,0.06910206,True
X284,0.068936735,0.068936735,True
X304,0.06879637,0.06879637,True
X635,0.068632044,0.068632044,True
X185,-0.06795138,0.06795138,True
X592,0.067821,0.067821,True
