w_lgbm,w_catboost,w_xgboost,weight_sum,overall_pearson,overall_rmse,overall_mae,extreme_pearson,extreme_rmse,extreme_mae
0.25,0.35,0.4,1.0,0.10693106375626832,1.0376681128954914,0.6968011953486566,0.29290258068602004,3.3738829718432792,3.153065913331049
0.1,0.1,0.8,1.0,0.10272346944285562,1.0377478436311092,0.6969293817902694,0.28637876580282096,3.3739065085138753,3.152781989096034
0.4,0.6,0.0,1.0,0.10746115793191839,1.0377425902310606,0.6968319482876597,0.28858219385550443,3.373926166366492,3.1533498375660627
0.15,0.2,0.65,1.0,0.10457894582109409,1.0377052967935076,0.6968625089187589,0.29016501543486906,3.373965367935659,3.1529328966151335
0.3,0.45,0.25,1.0,0.10775600242608352,1.0376862160993126,0.6967968021994201,0.2930160303916417,3.373967843445473,3.153216820850148
0.2,0.3,0.5,1.0,0.10618714637424644,1.0376870586700269,0.6968203233421537,0.2928167328074171,3.3740346603547278,3.153083804134233
0.35,0.55,0.1,1.0,0.1079387719717864,1.0377286284721035,0.6968177806496001,0.29139082150355033,3.3740631468487767,3.1533677283692465
0.05,0.05,0.9,1.0,0.10124609853150623,1.037799692913916,0.6969834619948867,0.28366899727281775,3.374072902076025,3.152799879899218
0.25,0.4,0.35,1.0,0.10740804195643809,1.0376931305423902,0.6968028904215016,0.29404266498981174,3.37411438512831,3.1532347116533312
0.1,0.15,0.75,1.0,0.10328876817067591,1.0377451178038366,0.6969037915525088,0.28829560168848417,3.3741266156007454,3.152950787418318
0.15,0.25,0.6,1.0,0.10516112457679827,1.0377148496310746,0.6968488146088861,0.29193914650372504,3.3741907618117666,3.153101694937416
0.3,0.5,0.2,1.0,0.10807197535958579,1.0377235119838737,0.6968115014861351,0.2935692671875305,3.3742045415169275,3.1533856191724303
0.0,0.0,1.0,1.0,0.09959816554513912,1.0378603838984557,0.6970457130475592,0.2802661285932025,3.3742437071283082,3.152817770702402
0.2,0.35,0.45,1.0,0.10673549676682094,1.0377088905226037,0.6968189944057612,0.2942853913144843,3.374265340114098,3.1532526024565155
0.05,0.1,0.85,1.0,0.10178379492784062,1.03779378214582,0.6969541992011372,0.28565628166591733,3.374292275192132,3.1529686782215016
0.35,0.6,0.05,1.0,0.1079894637155118,1.0377782008594558,0.6968441955785055,0.29117581720328484,3.3743051286844286,3.153536526691529
0.25,0.45,0.3,1.0,0.10784859339927223,1.037727240897206,0.6968139007186149,0.29501657123816255,3.3743503498160448,3.153403509975614
0.1,0.2,0.7,1.0,0.10387135008872118,1.037751485068013,0.6968869043929612,0.29023583103404516,3.3743512756019505,3.1531195857406
0.15,0.3,0.55,1.0,0.10574915750256071,1.037733495636944,0.6968435599962625,0.2936801214748752,3.3744207078105486,3.153270493259699
0.3,0.55,0.15,1.0,0.10830561432202025,1.0377698994653233,0.696834061140921,0.2938469708369424,3.3744457901292377,3.153554417494713
0.0,0.05,0.95,1.0,0.10008892968020315,1.0378512885754796,0.6970129274200896,0.2822575167612901,3.374462346060045,3.1529865690246845
0.2,0.4,0.4,1.0,0.10726679140154904,1.0377398151167474,0.6968259646093893,0.2956388080007026,3.3745005711740053,3.1534214007787975
0.05,0.15,0.8,1.0,0.1023415430512429,1.0377969640441809,0.6969329063536048,0.2876921487642797,3.3745162010956427,3.153137476543784
0.35,0.65,0.0,1.0,0.10789545352526002,1.0378368632295112,0.6968795241383061,0.2905652561139335,3.3745516601686685,3.1537053250138127
0.1,0.25,0.65,1.0,0.10446787469883405,1.037766945256265,0.696877789010801,0.2921807834891269,3.3745804876081698,3.153288384062883
0.25,0.5,0.25,1.0,0.1082336365050971,1.0377704430633374,0.6968326854807347,0.295768397013802,3.3745908649517276,3.1535723082978975
0.15,0.35,0.5,1.0,0.10633536028077634,1.0377612343209708,0.6968466611771479,0.29535525908916843,3.3746552050014724,3.1534392915819818
0.0,0.1,0.9,1.0,0.10059942740961852,1.0378512853969988,0.6969880585595171,0.284314600213255,3.3746855376460254,3.1531553673469683
0.3,0.6,0.1,0.9999999999999999,0.10842691054619467,1.0378253773245647,0.6968651601720485,0.29377713609903233,3.3746915883064816,3.153723215816996
0.2,0.45,0.35,1.0,0.10776618101895019,1.0377798316395992,0.6968410489256168,0.29682684052108926,3.3747403525827258,3.153590199101081
0.05,0.2,0.75,1.0,0.10291731711986372,1.0378092385253654,0.6969204631697354,0.28976336269928626,3.3747446788802793,3.1533062748660665
0.1,0.3,0.6,1.0,0.10507314043658827,1.0377914979622156,0.6968768367404435,0.29410463464444603,3.3748142506919083,3.153457182385166
0.25,0.55,0.2,1.0,0.10853789536632306,1.037822735905371,0.6968594351129094,0.2962291410771179,3.3748359295624644,3.1537411066201795
